"X","total_bill","tip","sex","smoker","day","time","size"
206,26.59,3.41,"Male","Yes","Sat","Dinner",3
125,29.8,4.2,"Female","No","Thur","Lunch",6
124,12.48,2.52,"Female","No","Thur","Lunch",2
53,9.94,1.56,"Male","No","Sun","Dinner",2
52,34.81,5.2,"Female","No","Sun","Dinner",4
181,23.33,5.65,"Male","Yes","Sun","Dinner",2
136,10.33,2,"Female","No","Thur","Lunch",2
173,31.85,3.18,"Male","Yes","Sun","Dinner",2
222,8.58,1.92,"Male","Yes","Fri","Lunch",1
230,24.01,2,"Male","Yes","Sat","Dinner",4
2,21.01,3.5,"Male","No","Sun","Dinner",3
178,9.6,4,"Female","Yes","Sun","Dinner",2
110,14,3,"Male","No","Sat","Dinner",2
217,11.59,1.5,"Male","Yes","Sat","Dinner",2
211,25.89,5.16,"Male","Yes","Sat","Dinner",4
105,15.36,1.64,"Male","Yes","Sat","Dinner",2
5,25.29,4.71,"Male","No","Sun","Dinner",4
126,8.52,1.48,"Male","No","Thur","Lunch",2
18,16.97,3.5,"Female","No","Sun","Dinner",3
232,11.61,3.39,"Male","No","Sat","Dinner",2
188,18.15,3.5,"Female","Yes","Sun","Dinner",3
147,11.87,1.63,"Female","No","Thur","Lunch",2
225,16.27,2.5,"Female","Yes","Fri","Lunch",2
43,9.68,1.32,"Male","No","Sun","Dinner",2
28,21.7,4.3,"Male","No","Sat","Dinner",2
93,16.32,4.3,"Female","Yes","Fri","Dinner",2
42,13.94,3.06,"Male","No","Sun","Dinner",2
186,20.9,3.5,"Female","Yes","Sun","Dinner",3
170,50.81,10,"Male","Yes","Sat","Dinner",3
112,38.07,4,"Male","No","Sun","Dinner",3
50,12.54,2.5,"Male","No","Sun","Dinner",2
85,34.83,5.17,"Female","No","Thur","Lunch",4
20,17.92,4.08,"Male","No","Sat","Dinner",2
38,18.69,2.31,"Male","No","Sat","Dinner",3
45,18.29,3,"Male","No","Sun","Dinner",2
87,18.28,4,"Male","No","Thur","Lunch",2
21,20.29,2.75,"Female","No","Sat","Dinner",2
153,24.55,2,"Male","No","Sun","Dinner",4
227,20.45,3,"Male","No","Sat","Dinner",4
240,27.18,2,"Female","Yes","Sat","Dinner",2
46,22.23,5,"Male","No","Sun","Dinner",2
165,24.52,3.48,"Male","No","Sun","Dinner",3
130,19.08,1.5,"Male","No","Thur","Lunch",2
95,40.17,4.73,"Male","Yes","Fri","Dinner",4
107,25.21,4.29,"Male","Yes","Sat","Dinner",2
195,7.56,1.44,"Male","No","Thur","Lunch",2
75,10.51,1.25,"Male","No","Sat","Dinner",2
88,24.71,5.85,"Male","No","Thur","Lunch",2
25,17.81,2.34,"Male","No","Sat","Dinner",4
235,10.07,1.25,"Male","No","Sat","Dinner",2
68,20.23,2.01,"Male","No","Sat","Dinner",2
204,20.53,4,"Male","Yes","Thur","Lunch",4
234,15.53,3,"Male","Yes","Sat","Dinner",2
108,18.24,3.76,"Male","No","Sat","Dinner",2
212,48.33,9,"Male","No","Sat","Dinner",4
39,31.27,5,"Male","No","Sat","Dinner",3
168,10.59,1.61,"Female","Yes","Sat","Dinner",2
164,17.51,3,"Female","Yes","Sun","Dinner",2
96,27.28,4,"Male","Yes","Fri","Dinner",2
79,17.29,2.71,"Male","No","Thur","Lunch",2
97,12.03,1.5,"Male","Yes","Fri","Dinner",2
67,3.07,1,"Female","Yes","Sat","Dinner",1
214,28.17,6.5,"Female","Yes","Sat","Dinner",3
19,20.65,3.35,"Male","No","Sat","Dinner",3
1,10.34,1.66,"Male","No","Sun","Dinner",3
158,13.39,2.61,"Female","No","Sun","Dinner",2
156,48.17,5,"Male","No","Sun","Dinner",6
61,13.81,2,"Male","Yes","Sat","Dinner",2
177,14.48,2,"Male","Yes","Sun","Dinner",2
138,16,2,"Male","Yes","Thur","Lunch",2
